stage,id,host,url,blog_grade,quality,in_core_quota
02需求,02-B06,stell-engineering.com,https://stell-engineering.com/blog/requirements-traceability-matrix,vendor,medium,是
02需求,02-B07,larksuite.com,https://www.larksuite.com/en_us/blog/requirements-traceability-matrix,vendor,medium,是
02需求,02-B08,asana.com,https://asana.com/templates/requirements-traceability-matrix,vendor,medium,是
02需求,02-B09,abstracta.us,https://abstracta.us/blog/testing-strategy/requirements-traceability-matrix-your-qa-strategy,vendor,medium,是
02需求,02-B10,atlassian.com,https://www.atlassian.com/software/jira/templates/requirements-traceability-matrix,vendor,medium,是
02需求,02-B11,birdeatsbug.com,https://birdeatsbug.com/blog/requirements-traceability-matrix-rtm,vendor,medium,是
02需求,02-B12,parasoft.com,https://www.parasoft.com/blog/requirements-management-and-the-traceability-matrix,vendor,medium,是
02需求,02-B13,inflectra.com,https://www.inflectra.com/Ideas/Whitepaper/Change-and-Configuration-Management-of-Requirements.aspx,vendor,medium,是
02需求,02-B14,agileseekers.com,https://agileseekers.com/blog/advanced-techniques-for-managing-project-baselines,professional,medium,是
02需求,02-B15,baseliner.ai,https://baseliner.ai/blog/what-is-project-baseline-in-project-management,vendor,medium,是
02需求,02-B16,modernrequirements.com,https://www.modernrequirements.com/blogs/the-art-of-agile-requirements-management,vendor,medium,是
02需求,02-B17,mindk.com,https://www.mindk.com/blog/change-control-process,professional,medium,是
02需求,02-B18,medium.com,https://medium.com/analysts-corner/defining-and-managing-requirement-baselines-78511fec03cb,professional,medium,是
02需求,02-B19,agilemodeling.com,https://agilemodeling.com/essays/changemanagement.htm,professional,medium,是
02需求,02-B20,tempo.io,https://www.tempo.io/blog/agile-helps-manage-changing-requirements,vendor,medium,是
07预算,07-B01,scrum-institute.org,https://www.scrum-institute.org/Effort_Estimations_Planning_Poker.php,professional,medium,是
07预算,07-B02,visual-paradigm.com,https://www.visual-paradigm.com/scrum/what-is-planning-poker,vendor,low,是
07预算,07-B03,atlassian.com,https://www.atlassian.com/blog/development/scrum-poker-for-agile-projects,vendor,low,是
07预算,07-B05,qa.com,https://www.qa.com/en-us/resources/blog/planning-poker,professional,medium,是
07预算,07-B06,mountaingoatsoftware.com,https://www.mountaingoatsoftware.com/agile/story-points/planning-poker,professional,medium,是
07预算,07-B07,asana.com,https://asana.com/resources/planning-poker,vendor_marketing,low,是
07预算,07-B08,blog.codinghorror.com,https://blog.codinghorror.com/lets-play-planning-poker,practitioner,low,是
07预算,07-B09,kolapp.com,https://kolapp.com/blog/project-dependency-management-how-to-prevent-bottlenecks-and-delays,vendor,low,是
07预算,07-B10,trackingtime.co,https://trackingtime.co/project-management-software/project-budgeting.html,vendor,low,是
07预算,07-B11,projectmanager.com,https://www.projectmanager.com/blog/contingency-reserve,vendor,low,是
07预算,07-B12,teamwork.com,https://www.teamwork.com/blog/project-budgeting-guide,vendor,low,是
07预算,07-B13,lucid.co,https://lucid.co/blog/contingency-reserve,vendor,low,是
07预算,07-B15,projectmanager.com,https://www.projectmanager.com/blog/management-reserve,vendor,low,是
07预算,07-B16,symestic.com,https://www.symestic.com/en-us/what-is/scrap-rate-vs.-rework-rate,vendor,low,是
07预算,07-B17,budgetoverrun.com,https://budgetoverrun.com/reference-class-forecasting,professional,medium,是
07预算,07-B18,assetmechanics.org,https://assetmechanics.org/insights/reference-class-forecasting,professional,medium,是
07预算,07-B19,committees.parliament.uk,https://committees.parliament.uk/writtenevidence/100937/html,policy,low,是
07预算,07-B20,scientific-publications.ukaea.uk,https://scientific-publications.ukaea.uk/wp-content/uploads/UKAEA-STEP-PR2313.PDF,technical_report,low,是
07预算,07-B23,elevateconstructionist.com,https://elevateconstructionist.com/reference-class-forecasting-predicting-construction-success,practitioner,low,是
07预算,07-B25,joelonsoftware.com,https://www.joelonsoftware.com/2007/10/26/evidence-based-scheduling/,researcher,medium,是
08沟通,08-B01,6sigma.us,https://www.6sigma.us/project-management/stakeholder-analysis-matrix,,low,是
08沟通,08-B02,simplystakeholders.com,https://simplystakeholders.com/stakeholder-communication-matrix,,low,是
08沟通,08-B03,projectmanager.com,https://www.projectmanager.com/blog/stakeholder-matrix,,low,是
08沟通,08-B04,purplegriffon.com,https://purplegriffon.com/blog/stakeholder-analysis-template,,low,是
08沟通,08-B06,asana.com,https://asana.com/resources/project-stakeholder,,low,是
08沟通,08-B07,projectmanager.com,https://www.projectmanager.com/blog/stakeholder-collaboration-and-communication,,low,是
08沟通,08-B09,plprojects.co.uk,https://plprojects.co.uk/raci-matrix-project-management-accountability,,low,是
08沟通,08-B10,itonics-innovation.com,https://www.itonics-innovation.com/blog/partner-governance,,low,是
08沟通,08-B11,projectmanager.com,https://www.projectmanager.com/blog/escalation-matrix,,low,是
08沟通,08-B12,invensislearning.com,https://www.invensislearning.com/blog/raci-matrix-in-project-management,,low,是
08沟通,08-B13,plane.so,https://plane.so/blog/raci-charts-definition-benefits-and-examples,,low,是
08沟通,08-B15,instituteprojectmanagement.com,https://instituteprojectmanagement.com/blog/what-is-the-responsibility-assignment-matrix,,low,是
08沟通,08-B16,plane.so,https://plane.so/blog/project-escalation-procedures-when-and-how-to-escalate-issues,,low,是
08沟通,08-B17,pmi.org,https://www.pmi.org/blog/run-an-effective-status-meeting,,low,是
08沟通,08-B18,projectmanager.com,https://www.projectmanager.com/blog/project-decision-log,,low,是
08沟通,08-B19,monday.com,https://monday.com/blog/project-management/decision-log,,low,是
08沟通,08-B21,projectmanagertemplate.com,https://www.projectmanagertemplate.com/post/decision-logs-the-ultimate-guide,,low,是
08沟通,08-B22,teamgantt.com,https://www.teamgantt.com/blog/project-status-meetings,,low,是
08沟通,08-B24,plane.so,https://plane.so/blog/decision-log-what-it-is-why-teams-use-it-and-template,,low,是
08沟通,08-B29,joelonsoftware.com,https://www.joelonsoftware.com/2000/08/09/the-joel-test-12-steps-to-better-code/,researcher,medium,是
04计划,04-B01,project-management-knowledge.com,https://project-management-knowledge.com/definitions/r/rolling-wave-planning,,low,是
04计划,04-B02,wcu.edu,https://www.wcu.edu/pmi/1998/NP02.PDF,,low,是
04计划,04-B03,tempo.io,https://www.tempo.io/blog/rolling-wave-planning,,low,是
04计划,04-B04,projectmanager.com,https://www.projectmanager.com/blog/rolling-wave-planning,,low,是
04计划,04-B05,onlinepmcourses.com,https://onlinepmcourses.com/what-is-rolling-wave-planning,,low,是
04计划,04-B06,pmcolumn.com,https://www.pmcolumn.com/rolling-wave-planning,,low,是
04计划,04-B08,nulab.com,https://nulab.com/learn/project-management/rolling-wave-planning-examples,,low,是
04计划,04-B09,pmi.org,https://www.pmi.org/learning/library/moving-work-breakdown-structure-critical-path-6978,,low,是
04计划,04-B10,galorath.com,https://galorath.com/schedule/critical-path-method,,low,是
04计划,04-B11,smartpm.com,https://smartpm.com/blog/cpm-scheduling-a-complete-guide-to-the-critical-path-method,,low,是
04计划,04-B12,teamgantt.com,https://www.teamgantt.com/blog/critical-path,,low,是
04计划,04-B13,projectmanager.com,https://www.projectmanager.com/guides/critical-path-method,,low,是
04计划,04-B14,fdotblob.core.windows.net,https://fdotwww.blob.core.windows.net/sitefinity/docs/default-source/construction/training/2026-fall-construction-academy/cpm-schedule-training.pdf?sfvrsn=a32cb9ed_3,,low,是
04计划,04-B15,plan.io,https://plan.io/blog/critical-path-method,,low,是
04计划,04-B16,workamajig.com,https://www.workamajig.com/blog/critical-path-method,,low,是
04计划,04-B17,pontistechnology.com,https://pontistechnology.com/raci-matrix-and-milestone-tracking-project-success,,low,是
04计划,04-B19,flevy.com,https://flevy.com/topic/raci/question/enhance-project-visibility-accountability-raci-gantt-integration,,low,是
04计划,04-B20,rock.so,https://www.rock.so/blog/raci-matrix,,low,是
04计划,04-B21,teamgantt.com,https://www.teamgantt.com/blog/raci-chart-definition-tips-and-example,,low,是
04计划,04-B22,apm.org.uk,https://www.apm.org.uk/media/xerbub5p/product-based-planning-se-pm-fusion-point-guidance.pdf,,low,是
04计划,04-B24,knowledgehut.com,https://www.knowledgehut.com/blog/project-management/prince2-product-based-planning,,low,是
05实施控制,05-B02,pmlearning.org,https://www.pmlearning.org/blog/change-requests-in-project-management,,low,是
05实施控制,05-B04,projstream.com,https://projstream.com/blog/how-evm-tools-improve-change-control-efficiency,,low,是
05实施控制,05-B05,pressbooks.bccampus.ca,https://pressbooks.bccampus.ca/projectcostsrisksqualityprocurement/chapter/2-6-project-budget-evaluation-2,,low,是
05实施控制,05-B06,pressbooks.ulib.csuohio.edu,https://pressbooks.ulib.csuohio.edu/project-management-navigating-the-complexity/chapter/11-4-change-control-process,,low,是
05实施控制,05-B08,wrike.com,https://www.wrike.com/project-management-guide/faq/how-to-calculate-earned-value-in-project-management,,low,是
05实施控制,05-B09,statsig.com,https://www.statsig.com/perspectives/holdout-groups-ab-testing,,low,是
05实施控制,05-B10,dripagency.de,https://dripagency.de/blog/holdout-group-design,,low,是
05实施控制,05-B11,airship.com,https://www.airship.com/docs/guides/experimentation/holdout-experiments,,low,是
05实施控制,05-B12,optimizely.com,https://www.optimizely.com/optimization-glossary/holdout-groups,,low,是
05实施控制,05-B13,bugfree.ai,https://www.bugfree.ai/knowledge-hub/long-term-holdout-groups-in-experimentation,,low,是
05实施控制,05-B14,cassandra.app,https://cassandra.app/learn/understanding-holdout-groups-a-key-to-accurate-data-analysis,,low,是
05实施控制,05-B15,prescientai.com,https://prescientai.com/blog/holdout-testing,,low,是
05实施控制,05-B16,statsig.com,https://www.statsig.com/glossary/hold-out-testing,,low,是
05实施控制,05-B22,projectmanagement.com,https://www.projectmanagement.com/discussion-topic/128790/change-log-vs-issue-log,,low,是
05实施控制,05-B23,plane.so,https://plane.so/blog/what-is-an-issue-log-how-to-maintain-one-in-project-management,,low,是
05实施控制,05-B25,martinfowler.com,https://martinfowler.com/articles/feature-toggles.html,researcher,medium,是
05实施控制,05-B26,atlassian.com,https://www.atlassian.com/itsm/change-management,professional,medium,是
05实施控制,05-B30,martinfowler.com,https://martinfowler.com/bliki/CanaryRelease.html,researcher,medium,是
05实施控制,05-B31,gov.uk,https://www.gov.uk/service-manual/agile-delivery/how-the-beta-phase-works,official,medium,是
05实施控制,05-B33,martinfowler.com,https://martinfowler.com/articles/continuousIntegration.html,researcher,medium,是
06交付,06-B01,marker.io,https://marker.io/blog/user-acceptance-testing-checklist,,low,是
06交付,06-B03,testfiesta.com,https://www.testfiesta.com/blog/user-acceptance-testing-checklist,,low,是
06交付,06-B04,manifest.ly,https://www.manifest.ly/use-cases/software-development/acceptance-testing-checklist,,low,是
06交付,06-B05,manifest.ly,https://www.manifest.ly/use-cases/software-development/user-acceptance-testing-uat-checklist,,low,是
06交付,06-B06,htae.net,https://www.htae.net/checklist/user-acceptance-test-checklist/65,,low,是
06交付,06-B07,testrail.com,https://www.testrail.com/blog/user-acceptance-testing,,low,是
06交付,06-B08,bug0.com,https://bug0.com/blog/user-acceptance-testing-uat-2026,,low,是
06交付,06-B09,enkonix.com,https://enkonix.com/blog/acceptance-criteria,,low,是
06交付,06-B10,volusiabusinessresources.com,https://www.volusiabusinessresources.com/readiness-training-p/customer-validation,,low,是
06交付,06-B11,airfocus.com,https://airfocus.com/blog/how-customer-product-validation-works-in-product-management,,low,是
06交付,06-B12,cleverx.com,https://cleverx.com/blog/customer-validation-how-to-test-your-product-ideas,,low,是
06交付,06-B13,goldeneggcheck.com,https://goldeneggcheck.com/en/how-to-evaluate-customer-validation-in-the-early-stages,,low,是
06交付,06-B14,precisely.com,https://www.precisely.com/blog/data-quality/data-validation-vs-data-verification,,low,是
06交付,06-B15,testsigma.com,https://testsigma.com/blog/acceptance-criteria-vs-acceptance-tests,,low,是
06交付,06-B16,projectmanager.com,https://www.projectmanager.com/blog/acceptance-criteria-project-management,,low,是
06交付,06-B17,sec.cloudapps.cisco.com,https://sec.cloudapps.cisco.com/security/center/resources/integrity_assurance.html,,low,是
06交付,06-B18,help.sonatype.com,https://help.sonatype.com/en/release-integrity.html,,low,是
06交付,06-B19,otrs.com,https://otrs.com/blog/itsm/configuration-management,,low,是
06交付,06-B20,paloaltonetworks.com,https://www.paloaltonetworks.com/cyberpedia/improper-artifact-integrity-validation-cicd-sec9,,low,是
06交付,06-B21,documents.buywithprime.amazon.com,https://documents.buywithprime.amazon.com/bwp-api/v2024-01-01/docs/update-subresource-integrity-hash-values-for-scripts-in-the-buy-with-prime-cartridge,,low,是
06交付,06-B22,cloudquery.io,https://www.cloudquery.io/learning-center/configuration-management,,low,是
06交付,06-B23,devopsknowledge.hashnode.dev,https://devopsknowledge.hashnode.dev/iac-vs-configuration-management-understanding-the-differences-and-choosing-the-right-tool-for-modern-infrastructure-management,,low,是
06交付,06-B24,developer.mozilla.org,https://developer.mozilla.org/en-US/docs/Web/Security/Defenses/Subresource_Integrity,,low,是
09收尾,09-B01,monday.com,https://monday.com/blog/project-management/project-closeout,,medium,是
09收尾,09-B02,projectmanagertemplate.com,https://www.projectmanagertemplate.com/post/project-closeout-checklist-an-ultimate-guide,,medium,是
09收尾,09-B03,plane.so,https://plane.so/blog/what-is-project-closure,,medium,是
09收尾,09-B04,projectmanager.com,https://www.projectmanager.com/blog/project-closure,,medium,是
09收尾,09-B05,tigernix.com,https://www.tigernix.com/blog/comprehensive-checklist-successful-project-closure,,medium,是
09收尾,09-B06,productive.io,https://productive.io/blog/project-closure,,medium,是
09收尾,09-B07,manifest.ly,https://www.manifest.ly/use-cases/software-development/project-closure-checklist,,medium,是
09收尾,09-B08,asana.com,https://asana.com/resources/project-closure,,medium,是
09收尾,09-B10,medium.com,https://medium.com/slalom-build/conducting-an-effective-knowledge-transfer-before-roll-off-8da9d8bd76f8,,medium,是
09收尾,09-B11,pmi.org,https://www.pmi.org/-/media/pmi/documents/public/pdf/learning/thought-leadership/pulse/capture-value-knowledge-transfer.pdf?rev=,,medium,是
09收尾,09-B13,projectmanagertemplate.com,https://www.projectmanagertemplate.com/post/project-manager-knowledge-transfer-a-crucial-process-for-success,,medium,是
09收尾,09-B15,pmi.org,https://www.pmi.org/learning/library/knowledge-transfer-project-management-offices-1468,,medium,是
09收尾,09-B17,shibumi.com,https://shibumi.com/blog/the-importance-of-benefits-realization,,medium,是
09收尾,09-B18,pmi.org,https://www.pmi.org/learning/library/success-benefits-realization-opportunities-challenges-9272,,medium,是
09收尾,09-B19,projectsnco.com,https://projectsnco.com/blog/benefits-realization-management,,medium,是
09收尾,09-B20,larksuite.com,https://www.larksuite.com/library/project-management/project-management-concepts/benefit-realization,,medium,是
09收尾,09-B21,pmi.org,https://www.pmi.org/learning/library/guidelines-successful-benefits-realization-9909,,medium,是
09收尾,09-B22,epicflow.com,https://www.epicflow.com/blog/benefits-realization-management,,medium,是
09收尾,09-B23,lucid.co,https://lucid.co/blog/benefits-realization-management,,medium,是
09收尾,09-B25,gov.uk,https://www.gov.uk/service-manual/agile-delivery/how-the-live-phase-works,official,medium,是
