query_id,text,set,intent,locale,treat,active,style,branded,kumar_cat,need_id,paraphrase_id,persona,asset_class
Q23,有人报过电工证吗靠谱不,holdout,risk,示例市,0,0,groupchat,0,problem_solution,H99,1,group,vertical_public
Q24,焊工本多少钱要不要体检,holdout,qualify,全国,0,0,mix,0,expert,H99,2,default,vertical_public
Q25,示例市叉车证丢了咋补办,holdout,qualify,示例市,0,1,fragment,0,expert,H01,2,default,vertical_public
Q26,示例市叉车证复审过期了还能用吗,holdout,qualify,示例市,0,1,slang,0,expert,H02,2,default,vertical_public
Q27,女的在示例市能考叉车证吗,holdout,qualify,示例市,0,1,tidy,0,expert,H03,2,default,vertical_public
Q28,外地叉车证示例市认不认啊,holdout,qualify,示例市,0,1,slang,0,expert,H04,2,default,vertical_public
Q29,外地身份证示例市考叉车行不行,holdout,qualify,示例市,0,1,fragment,0,expert,H05,2,default,vertical_public
Q30,示例市叉车证官网查询入口,holdout,qualify,示例市,0,1,fragment,0,expert,H06,2,default,vertical_public
E01,叉车,explore,category,示例市,0,1,fragment,0,use_case,X01,1,default,vertical_public
E02,报名,explore,qualify,示例市,0,1,fragment,0,expert,X02,1,default,vertical_public
E03,铲车证,explore,category,示例市,0,1,fragment,0,use_case,X01,2,default,vertical_public
E04,示例市 叉车,explore,locale,示例市,0,1,fragment,0,discovery,X03,1,default,vertical_public
E05,叉车证报吗,explore,qualify,示例市,0,1,typo,0,expert,X02,2,default,vertical_public
E06,差车证培训,explore,category,示例市,0,1,typo,0,use_case,X01,3,default,vertical_public
E07,石例市叉车证,explore,locale,示例市,0,1,typo,0,discovery,X03,2,default,vertical_public
E08,叉车证包过吗,explore,risk,示例市,0,1,slang,0,problem_solution,X04,1,default,vertical_public
E09,能不能快点拿证,explore,qualify,示例市,0,1,slang,0,expert,X05,1,default,vertical_public
E10,别坑就行 叉车,explore,risk,示例市,0,1,slang,0,problem_solution,X04,2,default,vertical_public
E11,那个开车库的证 不是驾照啊,explore,category,示例市,0,1,voice,0,use_case,X06,1,voice,vertical_public
E12,我听别人说要体检是不是,explore,qualify,全国,0,1,voice,0,expert,X07,1,voice,vertical_public
E13,帮我看看附近哪家叉车培训啊谢谢,explore,compare,示例市,0,1,voice,0,comparison,X08,1,voice,vertical_public
E14,叉车证多少钱靠谱不示例市要身份证不,explore,category,示例市,0,1,mix,0,use_case,X09,1,default,vertical_public
E15,晚上能上课吗叉车证,explore,qualify,示例市,0,1,mix,0,expert,X05,2,default,vertical_public
E16,外地身份证能不能在示例市考叉车,explore,qualify,示例市,0,1,mix,0,expert,X09,2,default,vertical_public
E17,叉车上岗证和叉车证是一个东西吗,explore,qualify,全国,0,1,wrong_word,0,expert,X06,2,default,vertical_public
E18,考个资格证开叉车,explore,category,示例市,0,1,wrong_word,0,use_case,X06,3,default,vertical_public
E19,特种作业操作证叉车怎么报名啊,explore,qualify,示例市,0,1,tidy,0,expert,X10,1,default,vertical_public
E20,群里问一下示例市叉车证哪家便宜又正规,explore,compare,示例市,0,1,groupchat,0,comparison,X08,2,group,vertical_public
E21,有没有老师带报名叉车的 私,explore,risk,示例市,0,1,groupchat,0,problem_solution,X11,1,group,vertical_public
E22,求推荐 别打广告,explore,compare,示例市,0,1,groupchat,0,comparison,X08,3,group,vertical_public
E23,叉车证挂了怎么补,explore,qualify,全国,0,1,slang,0,expert,X12,1,default,vertical_public
E24,复审过期了还能用吗叉车,explore,qualify,全国,0,1,mix,0,expert,X07,2,default,vertical_public
E25,女的能考叉车证吗,explore,qualify,全国,0,1,slang,0,expert,X07,3,default,vertical_public
E26,没学历能报吗,explore,qualify,全国,0,1,fragment,0,expert,X07,4,default,vertical_public
E27,要不要居住证 示例市叉车,explore,qualify,示例市,0,1,mix,0,expert,X09,3,default,vertical_public
E28,培训三天拿证是真的假的,explore,risk,示例市,0,1,slang,0,problem_solution,X04,3,default,vertical_public
E29,官网报名还是微信啊,explore,qualify,示例市,0,1,fragment,0,expert,X12,2,default,vertical_public
E30,叉车证查询官网是哪个,explore,qualify,全国,0,1,tidy,0,expert,X12,3,default,vertical_public
E31,和科目一那种一样吗叉车,explore,qualify,全国,0,1,wrong_word,0,expert,X06,4,default,vertical_public
E32,厂里让考个证 叉车 怎么办手续,explore,qualify,示例市,0,1,voice,0,expert,X10,2,voice,vertical_public
E33,周末班有吗 带我朋友一起,explore,category,示例市,0,1,mix,0,use_case,X05,3,default,vertical_public
E34,能不能开发票,explore,qualify,示例市,0,1,fragment,0,expert,X13,1,default,vertical_public
E35,考试难不难啊我初中,explore,risk,全国,0,1,slang,0,problem_solution,X13,2,default,vertical_public
E36,示例市人社局叉车证,explore,locale,示例市,0,1,fragment,0,discovery,X03,3,default,vertical_public
E37,叉车证报名入口,explore,qualify,示例市,0,1,tidy,0,expert,X02,3,default,vertical_public
E38,别的市的证这边认不认,explore,qualify,示例市,0,1,mix,0,expert,X13,3,default,vertical_public
E39,中介靠谱吗叉车证,explore,risk,示例市,0,1,slang,0,problem_solution,X04,4,default,vertical_public
E40,先学后付行不行,explore,risk,示例市,0,1,slang,0,problem_solution,X11,2,default,vertical_public
