vertical,need_id,paraphrase_id,kumar_cat,intent,style,persona,locale_pattern,text_redacted,set
特种作业培训,X06,,expert,qualify,wrong_word,default,全国,叉车上岗证和叉车证是一个东西吗,explore
特种作业培训,X06,,use_case,category,wrong_word,default,{city},考个资格证开叉车,explore
特种作业培训,X10,,expert,qualify,tidy,default,{city},特种作业操作证叉车怎么报名啊,explore
特种作业培训,X08,,comparison,compare,groupchat,group,{city},群里问一下{city}叉车证哪家便宜又正规,explore
特种作业培训,X11,,problem_solution,risk,groupchat,group,{city},有没有老师带报名叉车的 私,explore
特种作业培训,X08,,comparison,compare,groupchat,group,{city},求推荐 别打广告,explore
特种作业培训,X12,,expert,qualify,slang,default,全国,叉车证挂了怎么补,explore
特种作业培训,X07,,expert,qualify,mix,default,全国,复审过期了还能用吗叉车,explore
特种作业培训,X07,,expert,qualify,slang,default,全国,女的能考叉车证吗,explore
特种作业培训,X07,,expert,qualify,fragment,default,全国,没学历能报吗,explore
特种作业培训,X09,,expert,qualify,mix,default,{city},要不要居住证 {city}叉车,explore
特种作业培训,X04,,problem_solution,risk,slang,default,{city},培训三天拿证是真的假的,explore
特种作业培训,X12,,expert,qualify,fragment,default,{city},官网报名还是微信啊,explore
特种作业培训,X12,,expert,qualify,tidy,default,全国,叉车证查询官网是哪个,explore
特种作业培训,X06,,expert,qualify,wrong_word,default,全国,和科目一那种一样吗叉车,explore
特种作业培训,X10,,expert,qualify,voice,voice,{city},厂里让考个证 叉车 怎么办手续,explore
特种作业培训,X05,,use_case,category,mix,default,{city},周末班有吗 带我朋友一起,explore
特种作业培训,X13,,expert,qualify,fragment,default,{city},能不能开发票,explore
特种作业培训,X13,,problem_solution,risk,slang,default,全国,考试难不难啊我初中,explore
特种作业培训,X03,,discovery,locale,fragment,default,{city},{city}人社局叉车证,explore
特种作业培训,X02,,expert,qualify,tidy,default,{city},叉车证报名入口,explore
特种作业培训,X13,,expert,qualify,mix,default,{city},别的市的证这边认不认,explore
特种作业培训,X04,,problem_solution,risk,slang,default,{city},中介靠谱吗叉车证,explore
特种作业培训,X11,,problem_solution,risk,slang,default,{city},先学后付行不行,explore
特种作业培训,N01,1,discovery,locale,tidy,default,{city},{city}叉车证在哪里报名,core
特种作业培训,N02,1,comparison,compare,tidy,default,{city},{city}叉车证哪家培训正规,core
特种作业培训,N01,2,discovery,locale,fragment,default,{city},叉车证呢 哪儿办,core
特种作业培训,N01,3,discovery,locale,typo,default,{city},插车证报名啊 {city},core
特种作业培训,N03,1,use_case,category,voice,voice,{city},附近有没有那个开叉车的证怎么弄,core
特种作业培训,N04,1,problem_solution,risk,slang,default,{city},叉车本靠谱不 别坑,core
特种作业培训,N04,2,problem_solution,risk,mix,default,{city},{city}叉车证多少钱啊要啥材料靠谱吗,core
特种作业培训,N03,2,use_case,category,slang,default,{city},办个铲车证 急,core
特种作业培训,N05,1,expert,qualify,tidy,default,全国,叉车证报名需要什么材料,core
特种作业培训,N04,3,problem_solution,risk,groupchat,group,{city},亲 叉车证代办吗{city},core
特种作业培训,N01,4,discovery,locale,wrong_word,default,{city},叉车驾照在哪考 示例,core
特种作业培训,N02,2,comparison,compare,groupchat,group,{city},有人知道{city}叉车证哪家不坑吗 急,core
特种作业培训,N03,3,use_case,category,tidy,default,{city},附近叉车培训怎么收费,core
特种作业培训,N04,4,problem_solution,risk,slang,default,{city},叉车证会不会被骗啊,core
特种作业培训,N03,4,use_case,category,fragment,default,{city},特种作业那个证 叉车 {city},core
特种作业培训,N05,2,expert,qualify,mix,default,{city},我想考叉车要多久能不能周末,core
特种作业培训,H01,1,expert,qualify,slang,default,全国,叉车证挂了怎么补,holdout
特种作业培训,H02,1,expert,qualify,mix,default,全国,复审过期了还能用吗叉车,holdout
特种作业培训,H03,1,expert,qualify,slang,default,全国,女的能考叉车证吗,holdout
特种作业培训,H04,1,expert,qualify,mix,default,{city},别的市的证这边认不认,holdout
特种作业培训,H05,1,expert,qualify,mix,default,{city},外地身份证能不能在{city}考叉车,holdout
特种作业培训,H06,1,expert,qualify,tidy,default,全国,叉车证查询官网是哪个,holdout
特种作业培训,H99,1,problem_solution,risk,groupchat,group,{city},有人报过电工证吗靠谱不,holdout
特种作业培训,H99,2,expert,qualify,mix,default,全国,焊工本多少钱要不要体检,holdout
特种作业培训,X01,1,use_case,category,fragment,default,{city},叉车,explore
特种作业培训,X02,1,expert,qualify,fragment,default,{city},报名,explore
特种作业培训,X01,2,use_case,category,fragment,default,{city},铲车证,explore
特种作业培训,X03,1,discovery,locale,fragment,default,{city},{city} 叉车,explore
特种作业培训,X02,2,expert,qualify,typo,default,{city},叉车证报吗,explore
特种作业培训,X01,3,use_case,category,typo,default,{city},差车证培训,explore
特种作业培训,X03,2,discovery,locale,typo,default,{city},石例市叉车证,explore
特种作业培训,X04,1,problem_solution,risk,slang,default,{city},叉车证包过吗,explore
特种作业培训,X05,1,expert,qualify,slang,default,{city},能不能快点拿证,explore
特种作业培训,X04,2,problem_solution,risk,slang,default,{city},别坑就行 叉车,explore
特种作业培训,X06,1,use_case,category,voice,voice,{city},那个开车库的证 不是驾照啊,explore
特种作业培训,X07,1,expert,qualify,voice,voice,全国,我听别人说要体检是不是,explore
特种作业培训,X08,1,comparison,compare,voice,voice,{city},帮我看看附近哪家叉车培训啊谢谢,explore
特种作业培训,X09,1,use_case,category,mix,default,{city},叉车证多少钱靠谱不{city}要身份证不,explore
特种作业培训,X05,2,expert,qualify,mix,default,{city},晚上能上课吗叉车证,explore
特种作业培训,X09,2,expert,qualify,mix,default,{city},外地身份证能不能在{city}考叉车,explore
特种作业培训,X06,2,expert,qualify,wrong_word,default,全国,叉车上岗证和叉车证是一个东西吗,explore
特种作业培训,X06,3,use_case,category,wrong_word,default,{city},考个资格证开叉车,explore
特种作业培训,X10,1,expert,qualify,tidy,default,{city},特种作业操作证叉车怎么报名啊,explore
特种作业培训,X08,2,comparison,compare,groupchat,group,{city},群里问一下{city}叉车证哪家便宜又正规,explore
特种作业培训,X11,1,problem_solution,risk,groupchat,group,{city},有没有老师带报名叉车的 私,explore
特种作业培训,X08,3,comparison,compare,groupchat,group,{city},求推荐 别打广告,explore
特种作业培训,X12,1,expert,qualify,slang,default,全国,叉车证挂了怎么补,explore
特种作业培训,X07,2,expert,qualify,mix,default,全国,复审过期了还能用吗叉车,explore
特种作业培训,X07,3,expert,qualify,slang,default,全国,女的能考叉车证吗,explore
特种作业培训,X07,4,expert,qualify,fragment,default,全国,没学历能报吗,explore
特种作业培训,X09,3,expert,qualify,mix,default,{city},要不要居住证 {city}叉车,explore
特种作业培训,X04,3,problem_solution,risk,slang,default,{city},培训三天拿证是真的假的,explore
特种作业培训,X12,2,expert,qualify,fragment,default,{city},官网报名还是微信啊,explore
特种作业培训,X12,3,expert,qualify,tidy,default,全国,叉车证查询官网是哪个,explore
特种作业培训,X06,4,expert,qualify,wrong_word,default,全国,和科目一那种一样吗叉车,explore
特种作业培训,X10,2,expert,qualify,voice,voice,{city},厂里让考个证 叉车 怎么办手续,explore
特种作业培训,X05,3,use_case,category,mix,default,{city},周末班有吗 带我朋友一起,explore
特种作业培训,X13,1,expert,qualify,fragment,default,{city},能不能开发票,explore
特种作业培训,X13,2,problem_solution,risk,slang,default,全国,考试难不难啊我初中,explore
特种作业培训,X03,3,discovery,locale,fragment,default,{city},{city}人社局叉车证,explore
特种作业培训,X02,3,expert,qualify,tidy,default,{city},叉车证报名入口,explore
特种作业培训,X13,3,expert,qualify,mix,default,{city},别的市的证这边认不认,explore
特种作业培训,X04,4,problem_solution,risk,slang,default,{city},中介靠谱吗叉车证,explore
特种作业培训,X11,2,problem_solution,risk,slang,default,{city},先学后付行不行,explore
